organism_id,antibiotic_id,resistance_pct,n_isolates
B_MRGNL_MRGN,LVX,8.9,7562
B_MRGNL_MRGN,MFX,29.4,605
B_MRGNL_MRGN,PIP,39.3,9854
B_MRGNL_MRGN,TZP,8.8,18599
B_MRGNL_MRGN,SXT,11.2,18658
B_MRGNL_MRGN,FOS,97.0,9041
B_MRGNL_MRGN,TMP,14.6,6836
B_PROTS_MRBL,AMK,5.0,4757
B_PROTS_MRBL,GEN,9.4,51371
B_PROTS_MRBL,TOB,13.1,7532
B_PROTS_MRBL,ETP,0.2,55715
B_PROTS_MRBL,IPM,3.3,35334
B_PROTS_MRBL,MEM,0.0,78998
B_PROTS_MRBL,FEP,1.2,23932
B_PROTS_MRBL,CTX,1.5,75469
B_PROTS_MRBL,CAZ,1.4,79005
B_PROTS_MRBL,CRO,1.5,42961
B_PROTS_MRBL,CXM,2.7,74863
B_PROTS_MRBL,CIP,13.5,79270
B_PROTS_MRBL,LVX,13.4,29636
B_PROTS_MRBL,MFX,54.1,2811
B_PROTS_MRBL,AMX,29.6,17421
B_PROTS_MRBL,AMC,11.1,45939
B_PROTS_MRBL,AMP,28.5,71703
B_PROTS_MRBL,SAM,11.2,57632
B_PROTS_MRBL,MEC,52.2,10481
B_PROTS_MRBL,PIP,26.4,53858
B_PROTS_MRBL,TZP,0.6,79354
B_PROTS_MRBL,SXT,28.2,79594
B_PROTS_MRBL,FOS,18.1,39560
B_PROTS_MRBL,TMP,36.4,31447
B_PSDMN_AERG,AMK,1.6,66655
B_PSDMN_AERG,GEN,52.5,9980
B_PSDMN_AERG,TOB,2.2,80934
B_PSDMN_AERG,IPM,13.4,87775
B_PSDMN_AERG,MEM,5.4,90712
B_PSDMN_AERG,FEP,8.7,81126
B_PSDMN_AERG,CAZ,9.6,90621
B_PSDMN_AERG,CIP,10.9,90679
B_PSDMN_AERG,LVX,11.4,33267
B_PSDMN_AERG,PIP,17.4,80889
B_PSDMN_AERG,TZP,13.9,89551
B_PSDMN_AERG,ATM,11.9,56878
B_SERRT_MRCS,AMK,2.3,1377
B_SERRT_MRCS,GEN,1.7,16161
B_SERRT_MRCS,TOB,22.6,2272
B_SERRT_MRCS,ETP,0.7,13682
B_SERRT_MRCS,IPM,0.6,13891
