organism_id,antibiotic_id,resistance_pct,n_isolates
B_MRGNL_MRGN,MEM,,18580
B_MRGNL_MRGN,MFX,,605
B_MRGNL_MRGN,PIP,,9853
B_MRGNL_MRGN,SXT,,18657
B_MRGNL_MRGN,TMP,,6836
B_MRGNL_MRGN,TOB,,2211
B_MRGNL_MRGN,TZP,,18598
B_PROTS_MRBL,AMC,,45939
B_PROTS_MRBL,AMK,,4757
B_PROTS_MRBL,AMP,,71701
B_PROTS_MRBL,AMX,,17421
B_PROTS_MRBL,CAZ,,79003
B_PROTS_MRBL,CIP,,79268
B_PROTS_MRBL,CRO,,42959
B_PROTS_MRBL,CTX,,75467
B_PROTS_MRBL,CXM,,74861
B_PROTS_MRBL,ETP,,55713
B_PROTS_MRBL,FEP,,23932
B_PROTS_MRBL,FOS,,39560
B_PROTS_MRBL,GEN,,51369
B_PROTS_MRBL,IPM,,35332
B_PROTS_MRBL,LVX,,29636
B_PROTS_MRBL,MEC,,10481
B_PROTS_MRBL,MEM,,78996
B_PROTS_MRBL,MFX,,2810
B_PROTS_MRBL,PIP,,53856
B_PROTS_MRBL,SAM,,57630
B_PROTS_MRBL,SXT,,79592
B_PROTS_MRBL,TMP,,31447
B_PROTS_MRBL,TOB,,7532
B_PROTS_MRBL,TZP,,79352
B_PSDMN_AERG,AMK,,66655
B_PSDMN_AERG,ATM,,56878
B_PSDMN_AERG,CAZ,,90617
B_PSDMN_AERG,CIP,,90675
B_PSDMN_AERG,FEP,,81122
B_PSDMN_AERG,GEN,,9980
B_PSDMN_AERG,IPM,,87771
B_PSDMN_AERG,LVX,,33263
B_PSDMN_AERG,MEM,,90708
B_PSDMN_AERG,PIP,,80885
B_PSDMN_AERG,TOB,,80930
B_PSDMN_AERG,TZP,,89547
B_SERRT_MRCS,AMK,,1377
B_SERRT_MRCS,CAZ,,19642
B_SERRT_MRCS,CIP,,19655
B_SERRT_MRCS,CRO,,10808
B_SERRT_MRCS,CTX,,18704
B_SERRT_MRCS,ETP,,13681
B_SERRT_MRCS,FEP,,5978
B_SERRT_MRCS,FOS,,6701
B_SERRT_MRCS,GEN,,16160
B_SERRT_MRCS,IPM,,13890
B_SERRT_MRCS,LVX,,8361
B_SERRT_MRCS,MEM,,19802
B_SERRT_MRCS,MFX,,978
B_SERRT_MRCS,PIP,,13526
B_SERRT_MRCS,SXT,,19763
B_SERRT_MRCS,TMP,,3975
B_SERRT_MRCS,TOB,,2272
B_SERRT_MRCS,TZP,,19730
B_STPHY_AURS,AMC,,63453
B_STPHY_AURS,AMK,,2007
B_STPHY_AURS,AZM,,34633
B_STPHY_AURS,CIP,,51466
B_STPHY_AURS,CLI,,134714
B_STPHY_AURS,CLR,,32525
B_STPHY_AURS,CRO,,36553
B_STPHY_AURS,CTX,,30093
B_STPHY_AURS,CXM,,103750
B_STPHY_AURS,DAP,,102937
B_STPHY_AURS,DOX,,66634
B_STPHY_AURS,ERY,,137541
B_STPHY_AURS,ETP,,10626
B_STPHY_AURS,FEP,,10459
B_STPHY_AURS,FLC,,27293
B_STPHY_AURS,FOS,,121640
B_STPHY_AURS,FOX,,17423
B_STPHY_AURS,FUS,,107686
B_STPHY_AURS,GEN,,137319
B_STPHY_AURS,IPM,,87906
B_STPHY_AURS,LNZ,,130971
B_STPHY_AURS,LVX,,136590
B_STPHY_AURS,MEM,,72704
B_STPHY_AURS,MFX,,57193
B_STPHY_AURS,NIT,,13311
B_STPHY_AURS,OXA,,136946
B_STPHY_AURS,PEN,,97628
B_STPHY_AURS,RIF,,124054
B_STPHY_AURS,SAM,,108531
B_STPHY_AURS,SXT,,142965
B_STPHY_AURS,TCY,,99358
B_STPHY_AURS,TEC,,93235
B_STPHY_AURS,TGC,,109278
B_STPHY_AURS,TMP,,1315
B_STPHY_AURS,TOB,,17689
B_STPHY_AURS,TZP,,73422
B_STPHY_AURS,VAN,,138677
B_STPHY_EPDR,AMC,,36760
B_STPHY_EPDR,AMK,,1872
B_STPHY_EPDR,AZM,,21631
B_STPHY_EPDR,CIP,,30082
B_STPHY_EPDR,CLI,,82099
B_STPHY_EPDR,CLR,,20464
B_STPHY_EPDR,CRO,,22933
B_STPHY_EPDR,CTX,,19226
B_STPHY_EPDR,CXM,,59314
B_STPHY_EPDR,DAP,,63381
B_STPHY_EPDR,DOX,,34515
B_STPHY_EPDR,ERY,,78672
B_STPHY_EPDR,ETP,,6458
B_STPHY_EPDR,FEP,,6136
B_STPHY_EPDR,FLC,,14522
B_STPHY_EPDR,FOS,,70903
B_STPHY_EPDR,FOX,,9996
B_STPHY_EPDR,FUS,,61869
B_STPHY_EPDR,GEN,,77269
B_STPHY_EPDR,IPM,,51840
B_STPHY_EPDR,LNZ,,77848
B_STPHY_EPDR,LVX,,78184
B_STPHY_EPDR,MEM,,42366
B_STPHY_EPDR,MFX,,30603
B_STPHY_EPDR,NIT,,5496
B_STPHY_EPDR,OXA,,77105
B_STPHY_EPDR,RIF,,74167
B_STPHY_EPDR,SAM,,60621
B_STPHY_EPDR,SXT,,81434
B_STPHY_EPDR,TCY,,58795
B_STPHY_EPDR,TEC,,44366
B_STPHY_EPDR,TGC,,62933
B_STPHY_EPDR,TMP,,721
B_STPHY_EPDR,TOB,,10005
B_STPHY_EPDR,TZP,,43114
B_STPHY_EPDR,VAN,,81246
B_STRPT_PNMN,AMC,,2308
B_STRPT_PNMN,AMP,,4405
B_STRPT_PNMN,AMX,,1413
B_STRPT_PNMN,AZM,,1338
B_STRPT_PNMN,CLI,,5561
B_STRPT_PNMN,CLR,,1275
B_STRPT_PNMN,CRO,,4748
B_STRPT_PNMN,CTX,,5244
B_STRPT_PNMN,CXM,,2887
B_STRPT_PNMN,DOX,,2739
B_STRPT_PNMN,ERY,,5997
B_STRPT_PNMN,ETP,,158
B_STRPT_PNMN,FEP,,291
B_STRPT_PNMN,IPM,,1746
B_STRPT_PNMN,LNZ,,3772
B_STRPT_PNMN,LVX,,5569
B_STRPT_PNMN,MEM,,2254
B_STRPT_PNMN,MFX,,5092
B_STRPT_PNMN,PEN,,6392
B_STRPT_PNMN,PIP,,1880
B_STRPT_PNMN,RIF,,3053
B_STRPT_PNMN,SAM,,2984
B_STRPT_PNMN,SXT,,5173
B_STRPT_PNMN,TCY,,4024
B_STRPT_PNMN,TEC,,2790
B_STRPT_PNMN,TZP,,1787
B_STRPT_PNMN,VAN,,5588
